X_CCDS_start	X_CCDS_end	gene	X_NM_identifier	X_ENST_ID	X_CCDS_ID	X_strand	X_total_CCDS_length	X_CCDS_exons	X_region	Strata	Y_sequence_classification
48979040	48993666	CCDC22	NM_014008	ENST00000376227	CCDS14322.1	+	1884	17	XCR	Stratum 2	pseudogene
48994738	49001906	FOXP3	NM_014009	ENST00000376207	CCDS14323.1	-	1296	11	XCR	Stratum 2	pseudogene
49013276	49030496	PPP1R3F	NM_033215	ENST00000055335	CCDS35254.1	+	2400	4	XCR	Stratum 2	pseudogene
49048282	49063173	GAGE10	NM_001098413	ENST00000381754	CCDS43938.1	+	351	4	XCR	Stratum 2	notAnc_addX
49066616	49072716	GAGE12J	NM_001098406	ENST00000332114	CCDS43939.1	+	501	4	XCR	Stratum 2	notAnc_addX
49085662	49101270	GAGE2C	NM_001472	"ENST00000381708,ENST00000381705"	CCDS35260.1	+	351	4	XCR	Stratum 2	notAnc_addX
49085662	49110793	GAGE2D	NM_001098407	ENST00000381743	CCDS43941.1	+	351	4	XCR	Stratum 2	notAnc_addX
49184878	49190994	GAGE12C	NM_001098408	ENST00000381701	CCDS43943.1	+	354	4	XCR	Stratum 2	notAnc_addX
49203990	49210102	GAGE12E	NM_001098418	ENST00000381698	CCDS43945.1	+	354	4	XCR	Stratum 2	notAnc_addX
49213543	49219661	GAGE12F	NM_001098405	ENST00000381734	CCDS43946.1	+	354	4	XCR	Stratum 2	notAnc_addX
49223101	49229210	GAGE12G	NM_001098409	ENST00000376169	CCDS43947.1	+	354	4	XCR	Stratum 2	notAnc_addX
49232650	49238757	GAGE12H	NM_001098410	ENST00000381722	CCDS43948.1	+	354	4	XCR	Stratum 2	notAnc_addX
49251721	49256633	GAGE1	NM_001468	"ENST00000381709,ENST00000355154"	CCDS14325.2	+	420	4	XCR	Stratum 2	lostY
49339097	49346084	PAGE1	NM_003785	ENST00000376150	CCDS14327.1	-	441	5	XCR	Stratum 2	notAnc_addX
49481769	49485203	PAGE4	NM_007003	"ENST00000396562,ENST00000376141,ENST00000376130"	CCDS35274.1	+	309	4	XCR	Stratum 2	lostY
49721320	49743616	CLCN5	NM_000084	"ENST00000376108,ENST00000376091,ENST00000376088,ENST00000307367"	CCDS14328.1	+	2241	11	XCR	Stratum 2	pseudogene
49842342	49852280	AKAP4	NM_003886	ENST00000358526	CCDS14329.1	-	2565	6	XCR	Stratum 2	pseudogene
50044903	50111442	CCNB3	NM_033031	"ENST00000376042,ENST00000276014"	CCDS14331.1	+	4188	11	XCR	Stratum 2	pseudogene
50351384	50351384	SHROOM4	NM_020717	"ENST00000376020,ENST00000289292"	CCDS35277.1	-	4482	9	XCR	Stratum 2	pseudogene
50670523	50676347	BMP15	NM_005448	ENST00000252677	CCDS14334.1	+	1179	2	XCR	Stratum 2	lostY
51092557	51095831	NUDT10	NM_153183	"ENST00000376006,ENST00000356450"	CCDS35278.1	+	495	2	XCR	Stratum 2	lostY
51166608	51168120	LOC340602	NM_203407	ENST00000342995	CCDS14335.1	+	2322	1	XCR	Stratum 2	notAnc_addXY
51251340	51256036	NUDT11	NM_018159	ENST00000375992	CCDS43952.1	-	495	2	XCR	Stratum 2	lostY
51503462	51505349	GSPT2	NM_018094	ENST00000340438	CCDS14336.1	+	1887	1	XCR	Stratum 2	pseudogene
51654140	51661766	MAGED1	NM_001005333	ENST00000375695	CCDS35279.1	+	2505	12	XCR	Stratum 2	pseudogene
51821864	51828008	MAGED4B	NM_177535	ENST00000335504	CCDS14338.1	-	2226	12	XCR	Stratum 2	notAnc_addXY
52129872	52135449	XAGE2	NM_130777	ENST00000330906	CCDS35288.1	-	336	4	XCR	Stratum 2	notAnc_addX
52129872	52135449	XAGE2B	NM_001079538	ENST00000286049	CCDS43954.1	+	336	4	XCR	Stratum 2	notAnc_addX
52255627	52260591	XAGE1D	NM_020411	ENST00000396497	CCDS43956.1	-	312	4	XCR	Stratum 2	notAnc_addX
52528578	52533542	XAGE1C	NM_001097597	ENST00000399795	CCDS43955.1	+	387	4	XCR	Stratum 2	notAnc_addXY
52743803	52751524	SSX2	NM_003147	ENST00000336777	CCDS14345.1	-	867	7	XCR	Stratum 2	notAnc_addX
52842252	52843113	SPANXN5	NM_001009616	ENST00000375511	CCDS35295.1	-	1080	2	XCR	Stratum 2	notAnc_addXY
52858315	52863962	XAGE5	NM_130775	"ENST00000375501,ENST00000351072"	CCDS14346.1	+	327	4	XCR	Stratum 2	notAnc_addX
52908371	52912889	XAGE3	NM_133179	"ENST00000375491,ENST00000346279"	CCDS14347.1	-	663	4	XCR	Stratum 2	notAnc_addXY
52952977	52953619	FAM156A	NM_014138	"ENST00000375476,ENST00000357104,ENST00000356333,ENST00000330025,ENST00000316310"	CCDS35297.1	-	642	1	XCR	Stratum 2	notAnc_addX
53122528	53123650	GPR173	NM_018969	"ENST00000375466,ENST00000332582"	CCDS14349.1	+	1122	1	XCR	Stratum 2	pseudogene
53128405	53133846	TSPYL2	NM_022117	ENST00000375442	CCDS14350.1	+	2082	7	XCR	Stratum 2	gene
53238873	53270796	JARID1C	NM_004187	ENST00000375401	CCDS14351.1	-	4683	26	XCR	Stratum 2	gene
53281077	53327428	IQSEC2	NM_015075	ENST00000375365	CCDS35298.1	-	2850	14	XCR	Stratum 2	pseudogene
53423748	53466274	SMC1A	NM_006306	ENST00000322213	CCDS14352.1	-	3702	25	XCR	Stratum 2	pseudogene
53469949	53474661	RIBC1	NM_001031745	ENST00000375327	CCDS35299.1	+	1140	6	XCR	Stratum 2	lostY
53475076	53478017	HSD17B10	NM_004493	ENST00000168216	CCDS14354.1	-	786	6	XCR	Stratum 2	lostY
53576994	53637264	HUWE1	NM_031407	"ENST00000342160,ENST00000262854"	CCDS35301.1	-	13125	81	XCR	Stratum 2	pseudogene
53982315	54085886	PHF8	NM_015107	ENST00000338154	CCDS14355.1	-	3075	21	XCR	Stratum 2	lostY
54116190	54226356	FAM120C	NM_017848	ENST00000328235	CCDS14356.1	-	3291	16	XCR	Stratum 2	notAnc_addXY
54241481	54376831	WNK3	NM_020922	ENST00000354646	CCDS14357.1	-	5403	23	XCR	Stratum 2	notAnc_addX
54483579	54487708	TSR2	NM_058163	ENST00000375151	CCDS14358.1	+	576	5	XCR	Stratum 2	notAnc_addX
54489266	54538590	FGD1	NM_004463	ENST00000375135	CCDS14359.1	-	2886	18	XCR	Stratum 2	notAnc_addXY
54575724	54603760	GNL3L	NM_019067	"ENST00000396243,ENST00000360845,ENST00000336470"	CCDS14360.1	+	1749	15	XCR	Stratum 2	pseudogene
54793052	54841368	ITIH5L	NM_198510	ENST00000218436	CCDS14361.1	-	3942	13	XCR	Stratum 2	pseudogene
54852489	54858840	MAGED2	NM_201222	"ENST00000396224,ENST00000375068,ENST00000375058,ENST00000375053,ENST00000218439"	CCDS14362.1	+	1821	11	XCR	Stratum 2	lostY
54965404	54974496	TRO	NM_177556	"ENST00000375022,ENST00000319167"	CCDS43958.1	+	2121	12	XCR	Stratum 2	pseudogene
54976560	55037165	PFKFB1	NM_002625	ENST00000375006	CCDS14364.1	-	1416	14	XCR	Stratum 2	lostY
55043580	55050593	APEX2	NM_014481	ENST00000374987	CCDS14365.1	+	1557	6	XCR	Stratum 2	pseudogene
55052337	55069158	ALAS2	NM_000032	ENST00000330807	CCDS14366.1	-	1764	10	XCR	Stratum 2	pseudogene
55119199	55121956	PAGE2B	NM_001015038	ENST00000374971	CCDS35304.1	+	1599	4	XCR	Stratum 2	notAnc_addX
55133178	55135889	PAGE2	NM_207339	ENST00000374968	CCDS14367.1	+	999	4	XCR	Stratum 2	notAnc_addX
55186936	55204314	FAM104B	NM_138362	ENST00000332132	CCDS35305.1	-	348	4	XCR	Stratum 2	notAnc_addX
55263757	55267161	PAGE5	NM_130467	ENST00000289619	CCDS14368.1	+	543	5	XCR	Stratum 2	notAnc_addX
55495532	55496192	MAGEH1	NM_014061	ENST00000342972	CCDS14369.1	+	660	1	XCR	Stratum 2	lostY
55761485	55801501	RRAGB	NM_016656	ENST00000262850	CCDS14372.1	+	1125	11	XCR	Stratum 2	lostY
56276433	56308910	KLF8	NM_007250	ENST00000358094	CCDS14373.1	+	1080	6	XCR	Stratum 2	lostY
56607031	56608906	UBQLN2	NM_013444	ENST00000338222	CCDS14374.1	+	1875	1	XCR	Stratum 2	pseudogene
57037328	57038105	SPIN3	NM_001010862	ENST00000374919	CCDS43963.1	-	777	1	XCR	Stratum 2	notAnc_addX
57163010	57163787	SPIN2B	NM_001006683	"ENST00000374912,ENST00000333933,ENST00000275988"	CCDS35311.1	-	777	1	XCR	Stratum 2	notAnc_addX
57178978	57179755	SPIN2A	NM_019003	"ENST00000374908,ENST00000374906"	CCDS35312.1	-	777	1	XCR	Stratum 2	notAnc_addX
57329983	57532090	FAAH2	NM_174912	ENST00000374900	CCDS14375.1	+	2178	11	XCR	Stratum 2	notAnc_addXY
57635206	57637618	ZXDB	NM_007157	ENST00000374888	CCDS35313.1	+	2412	1	XCR	Stratum 2	lostY
57951179	57953579	ZXDA	NM_007156	ENST00000358697	CCDS14376.1	-	2400	1	XCR	Stratum 2	pseudogene
62486673	62487423	SPIN4	NM_001012968	ENST00000335144	CCDS43964.1	-	750	1	XCR	Stratum 1	pseudogene
62774632	62861262	ARHGEF9	NM_015185	ENST00000253401	CCDS35315.1	-	1551	10	XCR	Stratum 1	lostY
63326483	63329891	FAM123B	NM_152424	ENST00000330258	CCDS14377.2	-	3408	1	XCR	Stratum 1	pseudogene
63360939	63362228	ASB12	NM_130388	"ENST00000362002,ENST00000361287"	CCDS14378.1	-	957	2	XCR	Stratum 1	pseudogene
63405141	63531968	MTMR8	NM_017677	ENST00000374852	CCDS14379.1	-	2115	14	XCR	Stratum 1	lostY
64054387	64112982	ZC4H2	NM_018684	ENST00000374839	CCDS14380.1	-	675	5	XCR	Stratum 1	pseudogene
64649379	64655057	LAS1L	NM_031206	ENST00000374811	CCDS14381.1	-	2205	14	XCR	Stratum 1	pseudogene
64804433	64876480	MSN	NM_002444	ENST00000360270	CCDS14382.1	+	1734	13	XCR	Stratum 1	lostY
65158829	65176565	VSIG4	NM_007268	ENST00000374737	CCDS14383.1	-	1200	8	XCR	Stratum 1	lostY
65307137	65403239	HEPH	NM_138737	"ENST00000374727,ENST00000343002"	CCDS14384.1	+	3639	20	XCR	Stratum 1	lostY
65736050	65752587	EDA2R	NM_021783	"ENST00000396050,ENST00000374719"	CCDS14386.1	-	948	5	XCR	Stratum 1	lostY
66681713	66860408	AR	NM_000044	ENST00000374690	CCDS14387.1	+	2763	8	XCR	Stratum 1	pseudogene
67184990	67569587	OPHN1	NM_002547	ENST00000355520	CCDS14388.1	-	2409	23	XCR	Stratum 1	pseudogene
67635633	67668566	YIPF6	NM_173834	ENST00000374643	CCDS14389.1	+	711	7	XCR	Stratum 1	lostY
67852941	67860989	STARD8	NM_014725	"ENST00000396025,ENST00000374597,ENST00000252336"	CCDS14390.1	+	3072	11	XCR	Stratum 1	pseudogene
67966344	67977222	EFNB1	NM_004429	ENST00000204961	CCDS14391.1	+	1041	5	XCR	Stratum 1	lostY
68297874	68299806	PJA1	NM_022368	ENST00000374584	CCDS14392.1	-	1368	2	XCR	Stratum 1	pseudogene
68641850	68666524	FAM155B	NM_015686	ENST00000252338	CCDS35317.1	+	1419	3	XCR	Stratum 1	lostY
68752877	69172184	EDA	NM_001005609	ENST00000374553	CCDS43966.1	+	1170	8	XCR	Stratum 1	pseudogene
69199099	69199966	OTUD6A	NM_207320	ENST00000338352	CCDS14395.1	+	867	1	XCR	Stratum 1	pseudogene
69270522	69302556	IGBP1	NM_001551	"ENST00000356413,ENST00000342206"	CCDS14396.1	+	1020	6	XCR	Stratum 1	lostY
69314157	69341681	DGAT2L6	NM_198512	ENST00000333026	CCDS14397.1	+	1014	7	XCR	Stratum 1	lostY
69371270	69376865	AWAT1	NM_001013579	ENST00000374521	CCDS35321.1	+	987	7	XCR	Stratum 1	lostY
69395101	69396199	P2RY4	NM_002565	ENST00000374519	CCDS14398.1	-	1098	1	XCR	Stratum 1	pseudogene
69405960	69417687	ARR3	NM_004312	ENST00000307959	CCDS14399.1	+	1167	16	XCR	Stratum 1	lostY
69418792	69421218	RAB41	NM_001032726	ENST00000374473	CCDS35322.1	+	666	8	XCR	Stratum 1	lostY
69423656	69425916	PDZD11	NM_016484	"ENST00000374454,ENST00000239666"	CCDS14400.1	-	423	6	XCR	Stratum 1	lostY
69427033	69512791	KIF4A	NM_012310	ENST00000374403	CCDS14401.1	+	3699	30	XCR	Stratum 1	pseudogene
69561559	69569661	GDPD2	NM_017711	ENST00000374382	CCDS14402.1	+	1620	15	XCR	Stratum 1	lostY
69581776	69638844	DLG3	NM_021120	ENST00000374360	CCDS14403.1	+	2454	19	XCR	Stratum 1	lostY
69665669	69859266	TEX11	NM_031276	ENST00000395889	CCDS43968.1	-	2778	29	XCR	Stratum 1	pseudogene
70062387	70066572	SLC7A3	NM_032803	"ENST00000374299,ENST00000298085"	CCDS14404.1	-	1860	11	XCR	Stratum 1	lostY
70126088	70126088	SNX12	NM_013346	ENST00000374274	CCDS14405.1	-	489	4	XCR	Stratum 1	pseudogene
70233103	70239750	FOXO4	NM_005938	ENST00000374259	CCDS43969.1	+	1518	3	XCR	Stratum 1	lostY
70240561	70243131	LOC158830	NM_001025265	ENST00000374251	CCDS35324.1	-	552	6	XCR	Stratum 1	lostY
70244310	70248114	IL2RG	NM_000206	ENST00000276110	CCDS14406.1	-	1110	8	XCR	Stratum 1	lostY
70255329	70278793	MED12	NM_005120	ENST00000374080	CCDS43970.1	+	6534	45	XCR	Stratum 1	pseudogene
70284324	70304373	NLGN3	NM_018977	ENST00000374051	CCDS14407.1	+	2487	6	XCR	Stratum 1	lostY
70360282	70361134	GJB1	NM_001097642	"ENST00000374029,ENST00000374022,ENST00000361726"	CCDS14408.1	+	852	1	XCR	Stratum 1	lostY
70377490	70389830	ZMYM3	NM_201599	"ENST00000353904,ENST00000314425"	CCDS14409.1	-	4113	24	XCR	Stratum 1	pseudogene
70427212	70436651	NONO	NM_007363	"ENST00000373856,ENST00000373841,ENST00000276079"	CCDS14410.1	+	1416	10	XCR	Stratum 1	pseudogene
70438381	70441767	ITGB1BP2	NM_012278	ENST00000373829	CCDS14411.1	+	1044	11	XCR	Stratum 1	lostY
70502889	70600621	TAF1	NM_138923	ENST00000373790	CCDS35325.1	+	5619	38	XCR	Stratum 1	lostY
70669874	70710369	OGT	NM_181673	ENST00000373701	CCDS35502.1	+	3111	22	XCR	Stratum 1	lostY
70717396	70749557	ACRC	NM_052957	"ENST00000373696,ENST00000373695"	CCDS35326.1	+	2076	12	XCR	Stratum 1	pseudogene
70752939	70755024	CXCR3	NM_001504	ENST00000373693	CCDS14416.1	-	1107	2	XCR	Stratum 1	pseudogene
71275221	71277351	NHSL2	NM_001013627	ENST00000373677	CCDS35328.1	+	3678	1	XCR	Stratum 1	pseudogene
71318285	71334101	PIN4	NM_006223	ENST00000218432	CCDS14417.1	+	471	4	XCR	Stratum 1	pseudogene
71341588	71375486	ERCC6L	NM_017669	ENST00000334463	CCDS35329.1	-	3753	2	XCR	Stratum 1	pseudogene
71438297	71439444	CITED1	NM_004143	"ENST00000373619,ENST00000246139"	CCDS14419.1	-	582	2	XCR	Stratum 1	lostY
71466628	71709336	HDAC8	NM_018486	ENST00000373573	CCDS14420.1	-	1134	11	XCR	Stratum 1	lostY
71492453	71497141	RPS4X	NM_001007	ENST00000376943	CCDS35235.1	-	1863	4	XCR	Stratum 1	gene
71717576	71850453	PHKA1	NM_002637	ENST00000373542	CCDS14421.1	-	3672	32	XCR	Stratum 1	pseudogene
71981694	71984934	DMRTC1B	NM_001080851	"ENST00000373532,ENST00000334036"	CCDS43971.1	+	579	6	XCR	Stratum 1	lostY
71981694	71984934	DMRTC1	NM_033053	ENST00000373529	CCDS35333.2	-	579	6	XCR	Stratum 1	pseudogene
72140206	72140809	PABPC1L2B	NM_001042506	ENST00000373521	CCDS43972.1	+	603	1	XCR	Stratum 1	lostY
72215347	72215950	PABPC1L2A	NM_001012977	ENST00000373519	CCDS35334.1	-	603	1	XCR	Stratum 1	lostY
72349670	72351053	NAP1L2	NM_021963	ENST00000373517	CCDS14423.1	-	1383	1	XCR	Stratum 1	pseudogene
72583814	72591146	CDX4	NM_005193	ENST00000373514	CCDS14424.1	+	855	3	XCR	Stratum 1	lostY
73440826	73441327	ZCCHC13	NM_203303	ENST00000339534	CCDS14425.1	+	501	1	XCR	Stratum 1	lostY
73557975	73668113	SLC16A2	NM_006517	ENST00000276033	CCDS14426.1	+	1842	6	XCR	Stratum 1	lostY
73727999	73732537	RLIM	NM_183353	"ENST00000349225,ENST00000337896,ENST00000332687"	CCDS14427.1	-	1875	3	XCR	Stratum 1	pseudogene
73875964	73882210	KIAA2022	NM_001008537	"ENST00000373468,ENST00000055682"	CCDS35337.1	-	4551	3	XCR	Stratum 1	pseudogene
74189929	74292832	ABCB7	NM_004299	ENST00000253577	CCDS14428.1	-	2262	16	XCR	Stratum 1	lostY
74410814	74434133	UPRT	NM_145052	ENST00000373383	CCDS14429.1	+	930	7	XCR	Stratum 1	lostY
74515711	74659584	ZDHHC15	NM_144969	ENST00000373367	CCDS14430.1	-	1014	11	XCR	Stratum 1	pseudogene
74920039	74921611	MAGEE2	NM_138703	ENST00000373359	CCDS14431.1	-	1572	1	XCR	Stratum 1	pseudogene
75309375	75314146	CXorf26	NM_016500	ENST00000373358	CCDS14432.1	+	702	6	XCR	Stratum 1	lostY
75564727	75567601	MAGEE1	NM_020932	ENST00000361470	CCDS14433.1	+	1098	1	XCR	Stratum 1	notAnc_addXY
76650484	76928143	ATRX	NM_000489	ENST00000373344	CCDS14434.1	-	7479	35	XCR	Stratum 1	pseudogene
76971372	77037563	MAGT1	NM_032121	"ENST00000395579,ENST00000358075"	CCDS14436.1	-	1104	10	XCR	Stratum 1	lostY
77041706	77047414	COX7B	NM_001866	ENST00000373335	CCDS14437.1	+	243	3	XCR	Stratum 1	lostY
77111026	77111791	PGAM4	NM_001029891	ENST00000334645	CCDS35338.1	-	513	1	XCR	Stratum 1	notAnc_addX
77113794	77188723	ATP7A	NM_000052	ENST00000341514	CCDS35339.1	+	4503	22	XCR	Stratum 1	lostY
77246493	77267983	PGK1	NM_000291	ENST00000373316	CCDS14438.1	+	1254	11	XCR	Stratum 1	lostY
77273762	77281764	TAF9B	NM_015975	ENST00000341864	CCDS35340.1	-	756	7	XCR	Stratum 1	lostY
77414885	77415899	CYSLTR1	NM_006639	ENST00000373304	CCDS14439.1	-	1014	1	XCR	Stratum 1	pseudogene
77799145	77800573	ZCCHC5	NM_152694	ENST00000321110	CCDS14440.1	-	1428	1	XCR	Stratum 1	pseudogene
77897022	77898135	LPAR4	NM_005296	ENST00000373301	CCDS14441.1	+	1113	1	XCR	Stratum 1	pseudogene
78102673	78103693	P2RY10	NM_198333	"ENST00000395516,ENST00000171757"	CCDS14442.1	+	1020	1	XCR	Stratum 1	lostY
78313160	78314162	GPR174	NM_032553	ENST00000276077	CCDS14443.1	+	1002	1	XCR	Stratum 1	lostY
78503241	78509368	ITM2A	NM_004867	ENST00000373298	CCDS14444.1	-	942	6	XCR	Stratum 1	lostY
79164424	79173266	TBX22	NM_016954	"ENST00000373296,ENST00000373294"	CCDS14445.1	+	2886	8	XCR	Stratum 1	pseudogene
79584694	79585864	FAM46D	NM_152630	ENST00000308293	CCDS14446.1	+	1170	1	XCR	Stratum 1	lostY
79818763	79887801	BRWD3	NM_153252	ENST00000373275	CCDS14447.1	-	5409	41	XCR	Stratum 1	pseudogene
80256803	80263704	NSBP1	NM_030763	"ENST00000395452,ENST00000358130"	CCDS14448.1	-	849	6	XCR	Stratum 1	pseudogene
80344355	80439382	SH3BGRL	NM_003022	ENST00000373212	CCDS14449.1	+	345	4	XCR	Stratum 1	lostY
82649988	82651074	POU3F4	NM_000307	ENST00000373200	CCDS14450.1	+	1086	1	XCR	Stratum 1	lostY
83002846	83016295	CYLC1	NM_021118	ENST00000329312	CCDS35341.1	+	1956	5	XCR	Stratum 1	pseudogene
83205940	83329563	RPS6KA6	NM_014496	ENST00000262752	CCDS14451.1	-	2238	22	XCR	Stratum 1	pseudogene
83463552	83617061	HDX	NM_144657	ENST00000297977	CCDS35342.1	-	2073	9	XCR	Stratum 1	pseudogene
84234200	84250069	SATL1	NM_001012980	ENST00000332921	CCDS35343.1	-	1899	5	XCR	Stratum 1	pseudogene
84389234	84413490	ZNF711	NM_021998	ENST00000373165	CCDS35344.1	+	2286	7	XCR	Stratum 1	pseudogene
84421082	84521115	POF1B	NM_024921	ENST00000262753	CCDS14452.1	-	1770	16	XCR	Stratum 1	lostY
85006290	85189192	CHM	NM_000390	ENST00000357749	CCDS14454.1	-	1962	15	XCR	Stratum 1	lostY
85290280	85973814	DACH2	NM_053281	ENST00000373125	CCDS14455.1	+	1800	12	XCR	Stratum 1	pseudogene
86659552	86808190	KLHL4	NM_019117	ENST00000373119	CCDS14457.1	+	2157	11	XCR	Stratum 1	lostY
87895071	87895977	CPXCR1	NM_033048	"ENST00000373111,ENST00000276127"	CCDS14458.1	+	594	1	XCR	Stratum 1	pseudogene
89063740	89064466	TGIF2LX	NM_138960	ENST00000283891	CCDS14459.1	+	726	1	XTR	XTR	gene
90577724	90578381	PABPC5	NM_080832	ENST00000312600	CCDS14460.1	+	1149	1	XTR	XTR	pseudogene
90977159	91760595	PCDH11X	NM_032968	ENST00000373094	CCDS14461.1	+	4044	7	XTR	XTR	gene
92813438	92814959	NAP1L3	NM_004538	ENST00000373079	CCDS14465.1	-	1521	1	XCR	Stratum 1	pseudogene
92851074	92851821	FAM133A	NM_173698	"ENST00000332647,ENST00000322139"	CCDS14466.1	+	747	1	XCR	Stratum 1	lostY
95826713	96079004	DIAPH2	NM_007309	ENST00000373049	CCDS14468.1	+	3291	27	XCR	Stratum 1	pseudogene
96025965	96026751	RPA4	NM_013347	ENST00000373040	CCDS35345.1	+	786	1	XCR	Stratum 1	lostY
99437930	99550251	PCDH19	NM_001105243	ENST00000255531	CCDS43976.1	-	3306	5	XCR	Stratum 1	pseudogene
99726671	99741370	TNMD	NM_022144	ENST00000373031	CCDS14469.1	+	954	7	XCR	Stratum 1	lostY
99772450	99778347	TSPAN6	NM_003270	ENST00000373020	CCDS14470.1	-	738	7	XCR	Stratum 1	lostY
99787975	99812640	SRPX2	NM_014467	ENST00000373004	CCDS14471.1	+	1398	10	XCR	Stratum 1	lostY
99817680	99843689	SYTL4	NM_080737	"ENST00000372989,ENST00000276141,ENST00000263033"	CCDS14472.1	-	2016	16	XCR	Stratum 1	lostY
99962061	99980006	CSTF2	NM_001325	ENST00000372972	CCDS14473.1	+	1734	13	XCR	Stratum 1	lostY
99985596	100015784	NOX1	NM_007052	ENST00000372966	CCDS14474.1	-	1695	13	XCR	Stratum 1	lostY
100055982	100069988	XKRX	NM_212559	ENST00000328526	CCDS14476.1	-	1350	3	XCR	Stratum 1	gene
100152225	100183934	TRMT2B	NM_024917	"ENST00000372936,ENST00000372935"	CCDS14477.1	-	1515	12	XCR	Stratum 1	pseudogene
100220647	100236601	TMEM35	NM_021637	ENST00000372930	CCDS14478.1	+	504	2	XCR	Stratum 1	lostY
100242715	100304612	CENPI	NM_006733	"ENST00000372927,ENST00000218507"	CCDS14479.1	+	2271	20	XCR	Stratum 1	pseudogene
100373292	100402266	DRP2	NM_001939	ENST00000395209	CCDS14480.2	+	2874	22	XCR	Stratum 1	pseudogene
100410836	100429187	TAF7L	NM_024885	ENST00000372907	CCDS35347.1	-	1389	13	XCR	Stratum 1	pseudogene
100488142	100490308	TIMM8A	NM_004085	ENST00000372902	CCDS14481.1	-	294	2	XCR	Stratum 1	lostY
100491528	100498486	BTK	NM_000061	ENST00000308731	CCDS14482.1	-	1980	18	XCR	Stratum 1	pseudogene
100532687	100533502	RPL36A	NM_021029	ENST00000372849	CCDS14483.1	+	429	5	XCR	Stratum 1	lostY
100539452	100549547	GLA	NM_000169	ENST00000218516	CCDS14484.1	-	1290	7	XCR	Stratum 1	lostY
100553632	100554982	HNRNPH2	NM_019597	"ENST00000395130,ENST00000316594"	CCDS14485.1	+	1350	1	XCR	Stratum 1	pseudogene
100694569	100695931	ARMCX1	NM_016608	ENST00000372829	CCDS14487.1	+	1362	1	XCR	Stratum 1	lostY
100757363	100758266	ARMCX6	NM_019007	"ENST00000395128,ENST00000361910"	CCDS14488.1	-	903	1	XCR	Stratum 1	pseudogene
100766625	100767765	ARMCX3	NM_177948	"ENST00000395122,ENST00000341189"	CCDS14489.1	+	1140	1	XCR	Stratum 1	lostY
100797331	100799230	ARMCX2	NM_177949	"ENST00000356824,ENST00000330154,ENST00000328766"	CCDS14490.1	-	1899	1	XCR	Stratum 1	pseudogene
100977816	100984420	NXF5	NM_032946	ENST00000263032	CCDS14491.1	-	1098	15	XCR	Stratum 1	lostY
101025137	101060262	ZMAT1	NM_001011657	ENST00000372782	CCDS35348.1	-	1917	6	XCR	Stratum 1	pseudogene
101268458	101269142	TCEAL2	NM_080390	"ENST00000372780,ENST00000329035"	CCDS14496.1	+	684	1	XCR	Stratum 1	pseudogene
101282407	101282959	TCEAL6	NM_001006938	"ENST00000372774,ENST00000372773"	CCDS43978.1	-	552	1	XCR	Stratum 1	lostY
101295557	101295893	BEX5	NM_001012978	ENST00000333643	CCDS35350.1	-	336	1	XCR	Stratum 1	lostY
101448696	101468084	NXF2B	NM_001099686	"ENST00000399467,ENST00000372750,ENST00000372749,ENST00000330252"	CCDS43979.1	-	1881	21	XCR	Stratum 1	notAnc_addX
101448696	101468084	NXF2	NM_022053	"ENST00000395088,ENST00000372758,ENST00000372757,ENST00000331670"	CCDS14497.1	+	1881	21	XCR	Stratum 1	pseudogene
101655670	101656747	TMSB15A	NM_021992	ENST00000289373	CCDS14498.1	-	468	2	XCR	Stratum 1	lostY
101743725	101745402	ARMCX5	NM_022838	"ENST00000395085,ENST00000372742,ENST00000246174"	CCDS14500.1	+	1677	1	XCR	Stratum 1	pseudogene
101795497	101799685	GPRASP1	NM_014710	"ENST00000372740,ENST00000361600"	CCDS35352.1	+	4188	1	XCR	Stratum 1	pseudogene
101856453	101858970	GPRASP2	NM_138437	"ENST00000340885,ENST00000332262"	CCDS14501.1	+	2517	1	XCR	Stratum 1	pseudogene
101890579	101892223	BHLHB9	NM_030639	"ENST00000372738,ENST00000372735"	CCDS14502.1	+	1644	1	XCR	Stratum 1	pseudogene
102078902	102079739	RAB40AL	NM_001031834	ENST00000218249	CCDS35353.1	+	462	1	XCR	Stratum 1	notAnc_addX
102204480	102204858	BEX1	NM_018476	ENST00000372728	CCDS35354.1	-	378	1	XCR	Stratum 1	lostY
102217873	102234607	NXF3	NM_022052	ENST00000395065	CCDS14503.1	-	1596	19	XCR	Stratum 1	lostY
102357737	102358100	BEX4	NM_001080425	"ENST00000372695,ENST00000372691"	CCDS35355.1	+	363	1	XCR	Stratum 1	lostY
102395209	102395563	TCEAL8	NM_153333	"ENST00000372685,ENST00000360000"	CCDS14504.1	-	354	1	XCR	Stratum 1	lostY
102415526	102416147	TCEAL5	NM_001012979	ENST00000372680	CCDS35356.1	-	621	1	XCR	Stratum 1	pseudogene
102451173	102452172	BEX2	NM_032621	"ENST00000372677,ENST00000372674"	CCDS14505.1	-	387	1	XCR	Stratum 1	lostY
102472987	102473290	TCEAL7	NM_152278	"ENST00000372666,ENST00000332431"	CCDS14506.1	+	303	1	XCR	Stratum 1	lostY
102499268	102499583	WBP5	NM_016303	"ENST00000372661,ENST00000372656"	CCDS14507.1	+	315	1	XCR	Stratum 1	lostY
